"claim_id","claim_date","order_id","device_id","issue_type","severity","warranty_approved","replacement_ship_days","notes","order_id_clean","device_id_clean","claim_dt","is_order_prefix_bad"
CLM-206082420,"2025-01-12",ORD-8026591,DEV-3917168184,Software,low,1.0,10.0,no fault found,ORD-8026591,dev-3917168184,2025-01-12 00:00:00.000,0
CLM-760341066,"2025-06-11",ORD-1060614,DEV-6165341482,Software,low,1.0,5.0,customer reports intermittent issue,ORD-1060614,dev-6165341482,2025-06-11 00:00:00.000,0
CLM-144592242,"2024-06-09",ORD-7153749,DEV-3936392749,Sound Distortion,med,1.0,2.0,no fault found,ORD-7153749,dev-3936392749,2024-06-09 00:00:00.000,0
CLM-270753418,"11/18/2024",ORD-1173626,DEV-6611514973,Battery,high,1.0,7.0,repeat failure,ORD-1173626,dev-6611514973,2024-11-18 00:00:00.000,0
CLM-454534094,"2025-03-11",ORD-4535344,DEV-6793257665,Software,high,0.0,5.0,,ORD-4535344,dev-6793257665,2025-03-11 00:00:00.000,0
CLM-309366196,"2024-07-07",ORD-2257717,DEV-5914795886,Physical Damage,low,1.0,3.0,needs firmware,ORD-2257717,dev-5914795886,2024-07-07 00:00:00.000,0
CLM-607334572,"2024-11-17",ORD-8283183,DEV-3532764887,Connectivity,low,0.0,5.0,needs firmware,ORD-8283183,dev-3532764887,2024-11-17 00:00:00.000,0
CLM-886621772,"2025-03-05",ORD-5943893,DEV-9508037241,Battery,low,0.0,7.0,needs firmware,ORD-5943893,dev-9508037241,2025-03-05 00:00:00.000,0
CLM-304291022,"2024-06-23",ORD-8670257,DEV-2791532400,Overheating,high,0.0,5.0,customer reports intermittent issue,ORD-8670257,dev-2791532400,2024-06-23 00:00:00.000,0
CLM-247474384,"09/26/2024",ORD-4494301,DEV-1948892092,Overheating,med,1.0,5.0,customer reports intermittent issue,ORD-4494301,dev-1948892092,2024-09-26 00:00:00.000,0
CLM-760135444,"2025-08-18",ORD-7790563,DEV-1193866974,Battery,med,1.0,10.0,no fault found,ORD-7790563,dev-1193866974,2025-08-18 00:00:00.000,0
CLM-441862167,"2025-11-24",ORD-7258785,DEV-4360996420,Software,low,1.0,5.0,customer reports intermittent issue,ORD-7258785,dev-4360996420,2025-11-24 00:00:00.000,0
CLM-236315548,"2025-06-14",ORD-2872417,DEV-9071367789,Software,low,1.0,3.0,no fault found,ORD-2872417,dev-9071367789,2025-06-14 00:00:00.000,0
CLM-271946094,"2025-04-23",ORD-5965098,DEV-5210041232,Physical Damage,low,1.0,10.0,no fault found,ORD-5965098,dev-5210041232,2025-04-23 00:00:00.000,0
CLM-916894745,"2024-02-25",ORD-4981510,DEV-3623900864,Physical Damage,low,1.0,5.0,customer reports intermittent issue,ORD-4981510,dev-3623900864,2024-02-25 00:00:00.000,0
CLM-336999107,"2024-01-14",ORD-1220763,DEV-7750837402,Overheating,med,1.0,,,ORD-1220763,dev-7750837402,2024-01-14 00:00:00.000,0
CLM-834196941,"2025-12-14",ORD-2599296,DEV-9209823983,,low,0.0,7.0,,ORD-2599296,dev-9209823983,2025-12-14 00:00:00.000,0
CLM-153549953,"2025-02-12",ORD-9794511,DEV-1422970780,Software,low,1.0,,repeat failure,ORD-9794511,dev-1422970780,2025-02-12 00:00:00.000,0
CLM-909987196,"2025-10-02",ORD-8124932,DEV-5536870863,Sound Distortion,high,1.0,2.0,no fault found,ORD-8124932,dev-5536870863,2025-10-02 00:00:00.000,0
CLM-351374929,"2025-09-28",ORD-3343567,DEV-1599433930,Sound Distortion,med,1.0,10.0,,ORD-3343567,dev-1599433930,2025-09-28 00:00:00.000,0
CLM-427799797,"2024-07-09",ORD-7927544,DEV-7920016090,Battery,low,1.0,3.0,customer reports intermittent issue,ORD-7927544,dev-7920016090,2024-07-09 00:00:00.000,0
CLM-784562834,"2024-12-18",ORD-6885607,DEV-8727347064,Software,high,1.0,2.0,no fault found,ORD-6885607,dev-8727347064,2024-12-18 00:00:00.000,0
CLM-912761883,"2025-11-13",ORD-1537753,DEV-5144623192,Software,low,0.0,5.0,repeat failure,ORD-1537753,dev-5144623192,2025-11-13 00:00:00.000,0
CLM-809587761,"2025-11-25",ORD-3554862,DEV-5860167420,Mic issues,med,1.0,3.0,,ORD-3554862,dev-5860167420,2025-11-25 00:00:00.000,0
CLM-520493737,"2025-03-25",ORD-1384174,DEV-5247287055,,med,1.0,5.0,,ORD-1384174,dev-5247287055,2025-03-25 00:00:00.000,0
CLM-778253726,"2024-12-01",ORD-7976958,DEV-1588264998,Software,med,1.0,3.0,customer reports intermittent issue,ORD-7976958,dev-1588264998,2024-12-01 00:00:00.000,0
CLM-449539140,"2024-08-08",ORD-6454252,DEV-8547136016,Software,high,1.0,5.0,,ORD-6454252,dev-8547136016,2024-08-08 00:00:00.000,0
CLM-136598000,"2025-11-24",ORD-9932747,DEV-2055938739,Battery,med,0.0,7.0,needs firmware,ORD-9932747,dev-2055938739,2025-11-24 00:00:00.000,0
CLM-671196470,"2024-05-17",ORD-1057449,DEV-4478804975,Battery,low,1.0,,needs firmware,ORD-1057449,dev-4478804975,2024-05-17 00:00:00.000,0
CLM-600892648,"2024-10-21",ORD-1999953,DEV-6992474832,Software,med,1.0,2.0,repeat failure,ORD-1999953,dev-6992474832,2024-10-21 00:00:00.000,0
CLM-263235284,"2024-08-17",ORD-3210858,DEV-7409910354,Software,med,1.0,7.0,,ORD-3210858,dev-7409910354,2024-08-17 00:00:00.000,0
CLM-903246435,"2024-03-12",ORD-6813591,,Physical Damage,low,1.0,7.0,,ORD-6813591,,2024-03-12 00:00:00.000,0
CLM-253344805,"2025-04-24",ORD-7267050,DEV-7702148211,Software,med,0.0,2.0,repeat failure,ORD-7267050,dev-7702148211,2025-04-24 00:00:00.000,0
CLM-640891944,"2024-01-20",ORD-3021480,DEV-1797252596,Mic issues,critical,1.0,5.0,needs firmware,ORD-3021480,dev-1797252596,2024-01-20 00:00:00.000,0
CLM-252987019,"2025-09-27",ORD-3277196,DEV-6643461056,Software,med,1.0,3.0,customer reports intermittent issue,ORD-3277196,dev-6643461056,2025-09-27 00:00:00.000,0
CLM-776568952,"2024-02-14",ORD-5183136,DEV-1423291060,Software,high,1.0,7.0,no fault found,ORD-5183136,dev-1423291060,2024-02-14 00:00:00.000,0
CLM-913775216,"2025-08-18",ORD-3154573,DEV-4238859559,Battery,critical,1.0,5.0,repeat failure,ORD-3154573,dev-4238859559,2025-08-18 00:00:00.000,0
CLM-683894496,"2024-07-02",ORD-4279158,DEV-2895296522,Connectivity,med,1.0,7.0,no fault found,ORD-4279158,dev-2895296522,2024-07-02 00:00:00.000,0
CLM-466506341,"2025-09-25",ORD-2582833,DEV-9549078637,Overheating,med,1.0,3.0,customer reports intermittent issue,ORD-2582833,dev-9549078637,2025-09-25 00:00:00.000,0
CLM-884124628,"2024-02-18",ORD-3404191,DEV-7325623156,Overheating,high,1.0,3.0,no fault found,ORD-3404191,dev-7325623156,2024-02-18 00:00:00.000,0
CLM-748045236,"2024-08-03",ORD-1442510,DEV-5486250718,Physical Damage,med,1.0,2.0,no fault found,ORD-1442510,dev-5486250718,2024-08-03 00:00:00.000,0
CLM-704818177,"2024-07-18",ORD-3255817,DEV-7574543646,Sound Distortion,low,0.0,,no fault found,ORD-3255817,dev-7574543646,2024-07-18 00:00:00.000,0
CLM-624110457,"2024-05-23",ORD-9192571,DEV-6000519526,Software,high,1.0,5.0,customer reports intermittent issue,ORD-9192571,dev-6000519526,2024-05-23 00:00:00.000,0
CLM-210152014,"2025-02-23",ORD-6963177,DEV-6728082354,Connectivity,low,1.0,3.0,customer reports intermittent issue,ORD-6963177,dev-6728082354,2025-02-23 00:00:00.000,0
CLM-908605848,"2025-05-24",ORD-8673977,DEV-9820872064,Battery,low,0.0,7.0,customer reports intermittent issue,ORD-8673977,dev-9820872064,2025-05-24 00:00:00.000,0
CLM-805694484,"2025-12-26",ORD-2677514,DEV-7153432716,Software,low,1.0,10.0,customer reports intermittent issue,ORD-2677514,dev-7153432716,2025-12-26 00:00:00.000,0
CLM-365660602,"2024-02-02",ORD-2296003,DEV-8948583108,Connectivity,med,1.0,,,ORD-2296003,dev-8948583108,2024-02-02 00:00:00.000,0
CLM-177029956,"2025-04-09",ORD-1972373,DEV-8018792468,Battery,med,1.0,5.0,customer reports intermittent issue,ORD-1972373,dev-8018792468,2025-04-09 00:00:00.000,0
CLM-657556388,"2024-09-01",ORD-2968428,DEV-4865928694,Battery,med,1.0,10.0,,ORD-2968428,dev-4865928694,2024-09-01 00:00:00.000,0
CLM-535137945,"2024-03-28",ORD-9148561,DEV-2318128476,Battery,high,1.0,10.0,needs firmware,ORD-9148561,dev-2318128476,2024-03-28 00:00:00.000,0
CLM-170142219,"2025-06-07",ORD-5986368,DEV-7037118998,Physical Damage,med,0.0,10.0,customer reports intermittent issue,ORD-5986368,dev-7037118998,2025-06-07 00:00:00.000,0
CLM-222804212,"2025-03-08",ORD-2081789,DEV-1801177244,Mic issues,high,1.0,7.0,no fault found,ORD-2081789,dev-1801177244,2025-03-08 00:00:00.000,0
CLM-995857771,"2025-06-12",ORD-2628399,DEV-8388614566,Physical Damage,low,1.0,7.0,repeat failure,ORD-2628399,dev-8388614566,2025-06-12 00:00:00.000,0
CLM-732281567,"2025-08-31",ORD-4195693,DEV-3022761184,Software,med,1.0,3.0,customer reports intermittent issue,ORD-4195693,dev-3022761184,2025-08-31 00:00:00.000,0
CLM-238609355,"2025-07-12",ORD-8181286,DEV-7965997893,Sound Distortion,low,1.0,3.0,customer reports intermittent issue,ORD-8181286,dev-7965997893,2025-07-12 00:00:00.000,0
CLM-861992821,"2025-10-30",ORD-9715708,DEV-9555146959,Physical Damage,low,1.0,2.0,,ORD-9715708,dev-9555146959,2025-10-30 00:00:00.000,0
CLM-101383152,"10/23/2025",ORD-1351930,DEV-8087369999,Software,low,1.0,5.0,no fault found,ORD-1351930,dev-8087369999,2025-10-23 00:00:00.000,0
CLM-771235520,"2025-08-17",ORD-8350263,DEV-8762037121,Sound Distortion,critical,1.0,10.0,needs firmware,ORD-8350263,dev-8762037121,2025-08-17 00:00:00.000,0
CLM-350876542,"2024-03-27",ORD-4494301,DEV-2886303290,,med,1.0,3.0,needs firmware,ORD-4494301,dev-2886303290,2024-03-27 00:00:00.000,0
CLM-730001826,"2024-07-21",ORD-1009670,DEV-8857523178,Software,low,1.0,5.0,customer reports intermittent issue,ORD-1009670,dev-8857523178,2024-07-21 00:00:00.000,0
CLM-291379882,"2024-08-13",ORD-5709353,DEV-7118398585,Battery,high,1.0,,,ORD-5709353,dev-7118398585,2024-08-13 00:00:00.000,0
CLM-887957861,"2024-01-11",OR-6667128,DEV-5172018929,Battery,high,0.0,,customer reports intermittent issue,OR-6667128,dev-5172018929,2024-01-11 00:00:00.000,1
CLM-670777925,"2024-07-17",ORD-1688389,DEV-3069005271,Connectivity,low,1.0,5.0,needs firmware,ORD-1688389,dev-3069005271,2024-07-17 00:00:00.000,0
CLM-879779341,"2024-10-31",ORD-9069316,DEV-5613318907,Overheating,critical,0.0,2.0,customer reports intermittent issue,ORD-9069316,dev-5613318907,2024-10-31 00:00:00.000,0
CLM-836291736,"2025-07-15",ORD-3757563,DEV-6862920746,Physical Damage,high,1.0,7.0,customer reports intermittent issue,ORD-3757563,dev-6862920746,2025-07-15 00:00:00.000,0
CLM-605218157,"2025-12-18",ORD-2032765,DEV-4948369099,Overheating,low,1.0,10.0,,ORD-2032765,dev-4948369099,2025-12-18 00:00:00.000,0
CLM-218385578,"2025-02-11",ORD-2187855,,Battery,critical,1.0,,customer reports intermittent issue,ORD-2187855,,2025-02-11 00:00:00.000,0
CLM-921805666,"2024-10-04",ORD-1706823,DEV-1040084282,Battery,high,,5.0,,ORD-1706823,dev-1040084282,2024-10-04 00:00:00.000,0
CLM-154821709,"2025-04-02",ORD-9757666,DEV-2446606165,Software,critical,1.0,5.0,,ORD-9757666,dev-2446606165,2025-04-02 00:00:00.000,0
CLM-472012358,"2025-11-11",ORD-5718567,DEV-2258989392,Battery,low,1.0,5.0,repeat failure,ORD-5718567,dev-2258989392,2025-11-11 00:00:00.000,0
CLM-491357963,"2024-03-05",ORD-7976239,DEV-8519343048,Overheating,med,1.0,7.0,no fault found,ORD-7976239,dev-8519343048,2024-03-05 00:00:00.000,0
CLM-518029960,"2025-12-10",ORD-8824380,DEV-9729789661,,,1.0,2.0,repeat failure,ORD-8824380,dev-9729789661,2025-12-10 00:00:00.000,0
CLM-801627563,"2025-05-15",ORD-8760485,DEV-5697462236,Mic issues,med,1.0,,,ORD-8760485,dev-5697462236,2025-05-15 00:00:00.000,0
CLM-197578052,"2024-03-05",ORD-8774351,DEV-4173706374,Connectivity,low,1.0,2.0,customer reports intermittent issue,ORD-8774351,dev-4173706374,2024-03-05 00:00:00.000,0
CLM-898302729,"2025-06-09",ORD-2954320,DEV-8323550212,Sound Distortion,low,1.0,5.0,no fault found,ORD-2954320,dev-8323550212,2025-06-09 00:00:00.000,0
CLM-900942274,"2024-03-25",ORD-2964232,DEV-2744327173,Connectivity,med,1.0,3.0,repeat failure,ORD-2964232,dev-2744327173,2024-03-25 00:00:00.000,0
CLM-865803416,"2024-06-26",ORD-9260770,DEV-7399912515,Overheating,low,1.0,3.0,needs firmware,ORD-9260770,dev-7399912515,2024-06-26 00:00:00.000,0
CLM-868325433,"2025-01-20",ORD-1563048,DEV-3732549508,Connectivity,low,1.0,10.0,,ORD-1563048,dev-3732549508,2025-01-20 00:00:00.000,0
CLM-340571970,"2025-07-14",ORD-8488543,DEV-6508568505,Software,med,0.0,,customer reports intermittent issue,ORD-8488543,dev-6508568505,2025-07-14 00:00:00.000,0
CLM-160332197,"2024-03-10",ORD-3810562,DEV-7353134662,Overheating,low,1.0,2.0,customer reports intermittent issue,ORD-3810562,dev-7353134662,2024-03-10 00:00:00.000,0
CLM-658413410,"2025-01-06",ORD-4663454,DEV-9962581582,Software,critical,1.0,5.0,,ORD-4663454,dev-9962581582,2025-01-06 00:00:00.000,0
CLM-669515226,"2025-05-01",ORD-3881227,DEV-4731913742,Physical Damage,high,1.0,2.0,no fault found,ORD-3881227,dev-4731913742,2025-05-01 00:00:00.000,0
CLM-680658489,"2024-08-10",ORD-2426119,DEV-1498846659,Software,med,1.0,7.0,no fault found,ORD-2426119,dev-1498846659,2024-08-10 00:00:00.000,0
CLM-918419277,"2024-05-09",ORD-8938826,DEV-2241693406,Battery,low,1.0,,needs firmware,ORD-8938826,dev-2241693406,2024-05-09 00:00:00.000,0
CLM-509995856,"2025-08-27",ORD-3222223,DEV-1901046378,Software,low,0.0,,customer reports intermittent issue,ORD-3222223,dev-1901046378,2025-08-27 00:00:00.000,0
CLM-928733334,"05/04/2024",ORD-3685201,,Connectivity,med,1.0,5.0,no fault found,ORD-3685201,,2024-05-04 00:00:00.000,0
CLM-317005100,"2025-03-03",ORD-4513002,DEV-8556884495,Sound Distortion,critical,1.0,5.0,no fault found,ORD-4513002,dev-8556884495,2025-03-03 00:00:00.000,0
CLM-859340999,"2025-08-06",OR-2596416,,Sound Distortion,low,1.0,7.0,no fault found,OR-2596416,,2025-08-06 00:00:00.000,1
CLM-543706324,"2025-02-18",ORD-2007869,DEV-1493356310,Physical Damage,med,0.0,,needs firmware,ORD-2007869,dev-1493356310,2025-02-18 00:00:00.000,0
CLM-168446227,"2025-10-01",ORD-7459020,DEV-4337345484,,low,0.0,2.0,customer reports intermittent issue,ORD-7459020,dev-4337345484,2025-10-01 00:00:00.000,0
CLM-877577693,"2024-11-06",ORD-2450556,DEV-3835810009,Connectivity,med,1.0,3.0,customer reports intermittent issue,ORD-2450556,dev-3835810009,2024-11-06 00:00:00.000,0
CLM-309598259,"2025-01-20",ORD-7064117,DEV-6603300795,Physical Damage,high,1.0,10.0,customer reports intermittent issue,ORD-7064117,dev-6603300795,2025-01-20 00:00:00.000,0
CLM-330601653,"2024-09-23",ORD-2978562,DEV-9383993240,Software,low,1.0,3.0,customer reports intermittent issue,ORD-2978562,dev-9383993240,2024-09-23 00:00:00.000,0
CLM-501257014,"2024-07-09",ORD-8749389,DEV-1193780169,Connectivity,low,1.0,10.0,customer reports intermittent issue,ORD-8749389,dev-1193780169,2024-07-09 00:00:00.000,0
CLM-308402716,"2024-11-25",ORD-2822722,DEV-7402735646,Battery,med,0.0,7.0,repeat failure,ORD-2822722,dev-7402735646,2024-11-25 00:00:00.000,0
CLM-805286447,"2025-04-17",ORD-6503823,DEV-5101352793,Software,low,0.0,7.0,needs firmware,ORD-6503823,dev-5101352793,2025-04-17 00:00:00.000,0
CLM-667758820,"2024-10-05",ORD-6835135,DEV-7330062085,Connectivity,med,1.0,10.0,,ORD-6835135,dev-7330062085,2024-10-05 00:00:00.000,0
CLM-903796305,"2025-08-01",ORD-5953137,DEV-8857523178,Battery,high,1.0,2.0,customer reports intermittent issue,ORD-5953137,dev-8857523178,2025-08-01 00:00:00.000,0
CLM-238130358,"2025-01-06",ORD-1046735,DEV-1566194766,Battery,critical,1.0,,customer reports intermittent issue,ORD-1046735,dev-1566194766,2025-01-06 00:00:00.000,0
CLM-846402112,"2025-10-11",ORD-3676127,DEV-5806252983,Connectivity,low,1.0,5.0,customer reports intermittent issue,ORD-3676127,dev-5806252983,2025-10-11 00:00:00.000,0
CLM-622279886,"2025-07-08",ORD-8100964,DEV-9235424353,Sound Distortion,med,1.0,10.0,repeat failure,ORD-8100964,dev-9235424353,2025-07-08 00:00:00.000,0
CLM-683687382,"2024-03-05",ORD-1332727,DEV-6502900531,Sound Distortion,low,1.0,7.0,repeat failure,ORD-1332727,dev-6502900531,2024-03-05 00:00:00.000,0
CLM-752417908,"2025-04-19",ORD-2998251,DEV-8708728501,Connectivity,high,0.0,5.0,customer reports intermittent issue,ORD-2998251,dev-8708728501,2025-04-19 00:00:00.000,0
CLM-987932656,"2024-04-01",ORD-3346889,DEV-2110456320,Battery,med,0.0,7.0,,ORD-3346889,dev-2110456320,2024-04-01 00:00:00.000,0
CLM-452971788,"2025-09-01",ORD-3138179,DEV-4254862837,Mic issues,med,0.0,5.0,no fault found,ORD-3138179,dev-4254862837,2025-09-01 00:00:00.000,0
CLM-362194176,"2025-08-21",ORD-7892688,DEV-2973744900,Connectivity,critical,1.0,2.0,no fault found,ORD-7892688,dev-2973744900,2025-08-21 00:00:00.000,0
CLM-985516149,"2024-12-06",ORD-1362815,DEV-1270849633,Software,med,1.0,5.0,customer reports intermittent issue,ORD-1362815,dev-1270849633,2024-12-06 00:00:00.000,0
CLM-411945708,"2025-09-28",ORD-8749389,DEV-6832757497,Connectivity,low,1.0,5.0,,ORD-8749389,dev-6832757497,2025-09-28 00:00:00.000,0
CLM-298972498,"2024-10-08",ORD-9193220,DEV-3559288186,Sound Distortion,med,1.0,7.0,customer reports intermittent issue,ORD-9193220,dev-3559288186,2024-10-08 00:00:00.000,0
CLM-195327940,"2024-09-05",ORD-5458173,DEV-7632121626,Overheating,low,1.0,3.0,repeat failure,ORD-5458173,dev-7632121626,2024-09-05 00:00:00.000,0
CLM-307712802,"2025-05-27",ORD-8286917,DEV-4309003778,Battery,critical,1.0,5.0,customer reports intermittent issue,ORD-8286917,dev-4309003778,2025-05-27 00:00:00.000,0
CLM-986171320,"2024-10-02",ORD-7925428,DEV-8572921555,Physical Damage,critical,1.0,,customer reports intermittent issue,ORD-7925428,dev-8572921555,2024-10-02 00:00:00.000,0
CLM-102162730,"2024-12-14",ORD-8857554,DEV-1599943570,Connectivity,high,0.0,2.0,no fault found,ORD-8857554,dev-1599943570,2024-12-14 00:00:00.000,0
CLM-564312351,"2025-09-15",ORD-1293811,DEV-7069691494,Sound Distortion,med,1.0,3.0,,ORD-1293811,dev-7069691494,2025-09-15 00:00:00.000,0
CLM-891800806,"2025-12-25",ORD-1799380,DEV-6358045657,Physical Damage,low,1.0,3.0,customer reports intermittent issue,ORD-1799380,dev-6358045657,2025-12-25 00:00:00.000,0
CLM-976890118,"2024-11-23",ORD-7733313,DEV-5650191533,Connectivity,med,1.0,3.0,,ORD-7733313,dev-5650191533,2024-11-23 00:00:00.000,0
CLM-935843169,"2025-10-21",ORD-5679736,DEV-4445946077,Connectivity,med,1.0,5.0,customer reports intermittent issue,ORD-5679736,dev-4445946077,2025-10-21 00:00:00.000,0
CLM-157772306,"2025-01-31",ORD-9703270,DEV-2892848823,,med,1.0,2.0,no fault found,ORD-9703270,dev-2892848823,2025-01-31 00:00:00.000,0
CLM-588495357,"2025-08-07",ORD-1725163,DEV-5275702835,Mic issues,med,1.0,5.0,no fault found,ORD-1725163,dev-5275702835,2025-08-07 00:00:00.000,0
CLM-868253478,"2025-01-20",ORD-3889546,DEV-9285318957,Software,med,0.0,10.0,repeat failure,ORD-3889546,dev-9285318957,2025-01-20 00:00:00.000,0
CLM-104613541,"2025-11-13",ORD-6506103,DEV-5169319206,Physical Damage,low,1.0,2.0,customer reports intermittent issue,ORD-6506103,dev-5169319206,2025-11-13 00:00:00.000,0
CLM-533598885,"2024-06-06",ORD-8649649,DEV-5405785800,Mic issues,med,1.0,10.0,no fault found,ORD-8649649,dev-5405785800,2024-06-06 00:00:00.000,0
CLM-227349119,"2025-06-05",ORD-9327723,DEV-5980569565,Battery,high,1.0,5.0,customer reports intermittent issue,ORD-9327723,dev-5980569565,2025-06-05 00:00:00.000,0
CLM-726250942,"2024-04-20",ORD-2963754,DEV-1186191881,Software,med,1.0,7.0,customer reports intermittent issue,ORD-2963754,dev-1186191881,2024-04-20 00:00:00.000,0
CLM-386542116,"2025-11-30",ORD-1296320,DEV-8628947857,Overheating,low,1.0,7.0,no fault found,ORD-1296320,dev-8628947857,2025-11-30 00:00:00.000,0
CLM-686277142,"2025-05-09",ORD-5111798,DEV-5399386912,,high,1.0,2.0,,ORD-5111798,dev-5399386912,2025-05-09 00:00:00.000,0
CLM-495467173,"2024-06-22",ORD-1355446,DEV-6283731822,Software,low,0.0,3.0,,ORD-1355446,dev-6283731822,2024-06-22 00:00:00.000,0
CLM-239603738,"2025-03-17",ORD-3453718,DEV-9566196425,Mic issues,low,1.0,,no fault found,ORD-3453718,dev-9566196425,2025-03-17 00:00:00.000,0
CLM-680199353,"2025-11-24",ORD-7050402,,Battery,med,1.0,7.0,customer reports intermittent issue,ORD-7050402,,2025-11-24 00:00:00.000,0
CLM-114929267,"2025-07-16",ORD-3161045,DEV-5122577845,Connectivity,low,1.0,5.0,,ORD-3161045,dev-5122577845,2025-07-16 00:00:00.000,0
CLM-466223171,"2025-11-30",ORD-9230524,DEV-7901852206,Overheating,high,1.0,7.0,no fault found,ORD-9230524,dev-7901852206,2025-11-30 00:00:00.000,0
CLM-984948526,"2025-03-19",ORD-4260209,DEV-6464739316,Connectivity,med,1.0,5.0,,ORD-4260209,dev-6464739316,2025-03-19 00:00:00.000,0
CLM-340548420,"2025-09-20",ORD-6161030,DEV-4201537970,Software,low,1.0,,customer reports intermittent issue,ORD-6161030,dev-4201537970,2025-09-20 00:00:00.000,0
CLM-492107768,"01/16/2025",ORD-8906500,DEV-7860383608,Software,low,1.0,3.0,customer reports intermittent issue,ORD-8906500,dev-7860383608,2025-01-16 00:00:00.000,0
CLM-777739213,"2024-09-19",ORD-3144747,DEV-9115426112,Battery,low,1.0,2.0,customer reports intermittent issue,ORD-3144747,dev-9115426112,2024-09-19 00:00:00.000,0
CLM-990997754,"2024-02-18",ORD-4024328,DEV-3691496868,Mic issues,low,1.0,7.0,customer reports intermittent issue,ORD-4024328,dev-3691496868,2024-02-18 00:00:00.000,0
CLM-487026784,"2025-05-23",ORD-6264195,DEV-4161333448,Software,,0.0,7.0,no fault found,ORD-6264195,dev-4161333448,2025-05-23 00:00:00.000,0
CLM-451330454,"2025-12-10",ORD-9341691,DEV-7071551236,Overheating,low,0.0,5.0,no fault found,ORD-9341691,dev-7071551236,2025-12-10 00:00:00.000,0
CLM-495140889,"2025-04-03",ORD-7759049,DEV-4830866370,Sound Distortion,low,1.0,3.0,no fault found,ORD-7759049,dev-4830866370,2025-04-03 00:00:00.000,0
CLM-297571901,"2024-10-31",ORD-4829073,DEV-1251918555,Connectivity,low,,3.0,repeat failure,ORD-4829073,dev-1251918555,2024-10-31 00:00:00.000,0
CLM-965233696,"2024-07-14",ORD-7739458,DEV-4916372333,,critical,1.0,5.0,repeat failure,ORD-7739458,dev-4916372333,2024-07-14 00:00:00.000,0
CLM-657669639,"2024-03-08",ORD-6209481,DEV-8076772770,Software,high,1.0,5.0,customer reports intermittent issue,ORD-6209481,dev-8076772770,2024-03-08 00:00:00.000,0
CLM-460608492,"2025-12-24",ORD-3660924,DEV-9426013959,Sound Distortion,med,1.0,3.0,needs firmware,ORD-3660924,dev-9426013959,2025-12-24 00:00:00.000,0
CLM-463155224,"2025-10-23",ORD-9456675,DEV-4535124978,Software,med,0.0,3.0,no fault found,ORD-9456675,dev-4535124978,2025-10-23 00:00:00.000,0
CLM-241373168,"2025-10-30",ORD-5815718,DEV-7088037660,Overheating,low,1.0,,,ORD-5815718,dev-7088037660,2025-10-30 00:00:00.000,0
CLM-559829177,"2025-05-24",ORD-2846083,DEV-5507546006,Connectivity,low,1.0,7.0,,ORD-2846083,dev-5507546006,2025-05-24 00:00:00.000,0
CLM-610814585,"2025-10-15",ORD-6880847,DEV-4631850207,Software,critical,1.0,3.0,no fault found,ORD-6880847,dev-4631850207,2025-10-15 00:00:00.000,0
CLM-356208611,"2024-01-02",ORD-1410928,DEV-6562037855,Connectivity,med,1.0,10.0,needs firmware,ORD-1410928,dev-6562037855,2024-01-02 00:00:00.000,0
CLM-331095236,"2025-01-04",ORD-8344642,DEV-7400670934,,low,0.0,3.0,customer reports intermittent issue,ORD-8344642,dev-7400670934,2025-01-04 00:00:00.000,0
CLM-399821896,"2025-01-12",ORD-5793723,,Physical Damage,critical,1.0,2.0,,ORD-5793723,,2025-01-12 00:00:00.000,0
CLM-884666135,"2025-10-17",ORD-6889447,DEV-6975660230,Software,high,1.0,2.0,no fault found,ORD-6889447,dev-6975660230,2025-10-17 00:00:00.000,0
CLM-230987420,"2024-04-27",ORD-5377990,DEV-9235584562,Battery,med,1.0,7.0,needs firmware,ORD-5377990,dev-9235584562,2024-04-27 00:00:00.000,0
CLM-205964305,"2024-05-30",ORD-4668854,DEV-6477357857,Overheating,high,1.0,5.0,,ORD-4668854,dev-6477357857,2024-05-30 00:00:00.000,0
CLM-450713461,"2025-09-16",ORD-5532378,DEV-6747066173,Overheating,low,1.0,5.0,,ORD-5532378,dev-6747066173,2025-09-16 00:00:00.000,0
CLM-832085280,"2024-09-21",ORD-4490194,DEV-7702148211,Battery,low,1.0,3.0,no fault found,ORD-4490194,dev-7702148211,2024-09-21 00:00:00.000,0
CLM-708443855,"2024-05-15",ORD-3458547,DEV-4165361857,Sound Distortion,,1.0,3.0,repeat failure,ORD-3458547,dev-4165361857,2024-05-15 00:00:00.000,0
CLM-955695751,"2025-02-05",ORD-2879705,DEV-3926514082,Software,high,0.0,2.0,no fault found,ORD-2879705,dev-3926514082,2025-02-05 00:00:00.000,0
CLM-991997889,"2024-11-23",ORD-5974847,DEV-6388204626,Battery,high,1.0,3.0,no fault found,ORD-5974847,dev-6388204626,2024-11-23 00:00:00.000,0
CLM-773854084,"2025-03-23",ORD-7477918,,Connectivity,low,1.0,3.0,,ORD-7477918,,2025-03-23 00:00:00.000,0
CLM-100278017,"2025-10-17",ORD-2693648,DEV-5697780864,Physical Damage,low,1.0,7.0,,ORD-2693648,dev-5697780864,2025-10-17 00:00:00.000,0
CLM-351686023,"2024-08-16",ORD-8139444,DEV-4507643609,Battery,low,1.0,,repeat failure,ORD-8139444,dev-4507643609,2024-08-16 00:00:00.000,0
