"forecast_id","month","region","product_type","forecast_units","actual_units","forecast_version"
FC-51477802,"2024-01",EU,Headphones,11620,13203.0,final
FC-62238220,"2025-09",LATAM,Portable PA,10971,11880.0,v2
FC-32734700,"2025-07",LATAM,Speakers,11057,12062.0,v2
FC-33766966,"2025-05",EU,Headphones,11086,11106.0,v3
FC-64410037,"2025-12",LATAM,Earbuds,17897,,final
FC-14299350,"2025-02",LATAM,Earbuds,8016,6895.0,v3
FC-89240981,"2025-05",LATAM,Portable PA,14627,15104.0,v2
FC-17044637,"2025-01",LATAM,Earbuds,12246,10994.0,v2
FC-82593208,"2024-03",APAC,Portable PA,16432,19323.0,v3
FC-84777045,"2025-12",,Speakers,12319,10120.0,v3
FC-97278034,"2024-03",LATAM,Speakers,9559,10186.0,v3
FC-52538825,"2025/10",EU,Aviation Headsets,6417,5892.0,v3
FC-83645249,"2024-02",LATAM,Earbuds,15752,14379.0,final
FC-58424776,"2025-10",,Speakers,13917,15562.0,final
FC-33573575,"2024-08",,Earbuds,9592,10974.0,final
FC-94893079,"2024-06",EU,Speakers,12191,10675.0,final
FC-63109391,"2024-06",EU,Aviation Headsets,10280,12021.0,v3
FC-94867258,"2024-10",EU,Earbuds,9607,9197.0,v1
FC-11982173,"2025-05",,Portable PA,4591,4951.0,v1
FC-53795046,"2024/12",,Speakers,9024,10461.0,final
FC-48051562,"2025-12",EU,Aviation Headsets,8322,,final
FC-10243312,"2025-03",,Earbuds,17885,16296.0,v1
FC-40739328,"2025-05",LATAM,Speakers,14114,12707.0,v3
FC-41378059,"2025-01",EU,Speakers,15759,15799.0,v2
FC-40655962,"2024-03",EU,Aviation Headsets,15555,16119.0,v2
FC-93939575,"2025-01",EU,Home Theater,16992,13643.0,
FC-84896571,"2025-10",LATAM,Headphones,10044,9309.0,v3
FC-33721993,"2025-02",,Earbuds,14764,15148.0,v1
FC-24769095,"2025-10",LATAM,Headphones,649,583.0,v1
FC-79214264,"2025-02",,Aviation Headsets,9598,10660.0,final
FC-21190057,"2025-02",,Earbuds,16866,16042.0,v3
FC-98897107,"2024-09",,Home Theater,1658,1529.0,v1
FC-35248961,"2025-08",APAC,Speakers,12258,11794.0,final
FC-34057511,"2025/08",,Aviation Headsets,19658,21546.0,final
FC-34128407,"2025-09",,Earbuds,13046,15050.0,final
FC-90695952,"2024-03",LATAM,Earbuds,13349,11427.0,v2
FC-42265724,"2024-06",APAC,Home Theater,8467,9069.0,v3
FC-96484899,"2024-06",APAC,Headphones,6305,5605.0,v3
FC-42284720,"2024-09",APAC,Headphones,8494,7865.0,v2
FC-91844420,"2025-06",LATAM,Headphones,9471,10939.0,v3
FC-35105835,"2025-05",LATAM,Portable PA,15760,11920.0,v2
FC-39058483,"2025/09",EU,Headphones,16063,17619.0,v2
FC-93352809,"2024/08",EU,Speakers,12746,13712.0,v1
FC-46097475,"2024-09",APAC,Headphones,5281,4367.0,final
FC-44411596,"2024-08",APAC,Aviation Headsets,8557,9996.0,
FC-33724365,"2025-01",,Speakers,24867,26114.0,final
FC-51465427,"2024-10",APAC,Portable PA,9745,9238.0,v3
FC-94442129,"2025-07",LATAM,Speakers,12550,12259.0,v1
FC-62627251,"2024/06",EU,Headphones,8945,8853.0,v3
FC-92615696,"2025-07",APAC,Aviation Headsets,10222,10954.0,final
FC-32250251,"2024-07",APAC,Speakers,9778,10475.0,v3
FC-43660276,"2025/02",EU,Aviation Headsets,8303,9587.0,v1
FC-75606847,"2025-11",LATAM,Home Theater,13304,,final
FC-61932338,"2025-06",APAC,Aviation Headsets,11673,11656.0,v3
FC-25767558,"2024-10",EU,Earbuds,13514,13967.0,final
FC-68541688,"2024-07",APAC,Aviation Headsets,18133,15127.0,final
FC-39802429,"2025-10",EU,Earbuds,9705,11153.0,v2
FC-69340213,"2024-06",EU,Speakers,13594,14188.0,v2
FC-21539146,"2024-02",LATAM,Home Theater,8352,8994.0,final
FC-74190120,"2025-04",APAC,Portable PA,7120,5706.0,final
FC-49658459,"2025-03",APAC,Portable PA,7648,7413.0,v2
FC-60603308,"2025-02",,Headphones,12095,12459.0,v2
FC-40196404,"2025-11",,Aviation Headsets,12717,10878.0,final
FC-45663434,"2024-01",,Home Theater,9905,10875.0,final
FC-91001787,"2025-10",,Headphones,10584,11365.0,v3
FC-97478217,"2025-08",APAC,Headphones,12102,12058.0,v3
FC-16408071,"2024-05",LATAM,Home Theater,14095,16020.0,final
FC-33741096,"2024-11",,Portable PA,12644,11737.0,v1
FC-90781994,"2025-07",LATAM,Headphones,6994,6206.0,v1
FC-60938620,"2025-02",APAC,Earbuds,17138,18970.0,v1
FC-21720381,"2025-03",APAC,Portable PA,11057,10349.0,final
FC-27483634,"2025-04",APAC,Portable PA,10978,13615.0,v3
FC-46917545,"2024-03",EU,Headphones,16001,13187.0,v3
FC-44544940,"2024-06",LATAM,Home Theater,18920,14288.0,v3
FC-11702297,"2025-04",LATAM,Speakers,6331,6825.0,v2
FC-35998550,"2024-06",,Home Theater,14470,17650.0,v2
FC-92349790,"2025-04",APAC,Portable PA,9748,11899.0,v1
FC-56512343,"2025/03",LATAM,Speakers,17279,19519.0,final
FC-70102658,"2024-12",EU,Earbuds,15861,17766.0,v1
FC-39481268,"2025-04",,Aviation Headsets,11445,10945.0,v2
FC-86711162,"2025-05",APAC,Aviation Headsets,12919,11877.0,final
FC-42374868,"2024-04",LATAM,Earbuds,8852,7801.0,final
FC-60155680,"2025-12",APAC,Headphones,12014,,v1
FC-55592913,"2024-10",LATAM,Portable PA,6282,7127.0,v1
FC-33039915,"2025-08",LATAM,Home Theater,14888,12881.0,final
FC-59303223,"2024-07",EU,Earbuds,10094,11488.0,final
FC-75691133,"2025-09",APAC,Speakers,10573,9498.0,v3
FC-69390144,"2024-03",APAC,Aviation Headsets,12800,13158.0,final
FC-40705913,"2024-06",EU,Home Theater,5982,5287.0,v1
FC-96073215,"2024-02",EU,Earbuds,12217,12356.0,final
FC-76770638,"2025-06",EU,Headphones,17712,19467.0,v1
FC-17888949,"2024-02",EU,Home Theater,11577,12546.0,
FC-81385368,"2025-01",LATAM,Speakers,14505,12975.0,v1
FC-61738168,"2024-07",EU,Headphones,8028,7615.0,v3
FC-17538135,"2024-06",LATAM,Aviation Headsets,7437,6213.0,v2
