device_id,product_id,model_name,hw_revision,manufacture_lot,activated_date
DEV-5224636244,PRD-66155,QC Ultra,C,LOT-367725,2025-06-30
DEV-3413089717,PRD-21114,Portable PA Mini,A,LOT-422511,2024-12-09
DEV-5596577417,PRD-66155,QC Ultra,D,LOT-574063,2024-12-14
DEV-8243824780,PRD-79822,Studio Pro,A,LOT-684404,2025-08-11
DEV-7333005220,PRD-24371,QC Ultra,C,LOT-363200,2025-08-23
DEV-4042404422,PRD-24371,Studio Pro,A,LOT-973245,2025-12-24
DEV-6464739316,PRD-79329,SoundLink Flex,B,LOT-849181,2025-08-21
DEV-7912252727,PRD-99353,QC45,B,LOT-661746,2025-06-18
DEV-6118962638,PRD-99353,QC45,B,LOT-274269,2025-06-26
DEV-2211386195,PRD-90120,Aviation Pro X,B,,2024-01-30
DEV-1667462560,PRD-71348,QC45,D,LOT-449035,2024-03-14
DEV-9216867868,PRD-99353,QC Ultra,C,LOT-559442,2024-02-25
DEV-1010969224,PRD-66155,Studio Pro,,LOT-132452,2024-08-14
DEV-9631196897,PRD-66155,Studio Pro,B,LOT-225958,
DEV-5211844236,PRD-24371,QC45,D,LOT-317032,2025-10-24
DEV-7968506558,PRD-66155,QC Ultra,A,LOT-484976,2024-04-09
DEV-7028132359,PRD-42018,Wave Plus,B,LOT-415915,2024-02-21
DEV-5177042519,PRD-66155,Studio Pro,D,LOT-884560,2024-02-25
DEV-9113922494,PRD-24371,QC45,B,LOT-755938,2025-11-07
DEV-2738287742,PRD-66155,QC Ultra,C,LOT-968271,2025-03-20
DEV-8129608599,PRD-17100,Quiet Buds,,LOT-525590,
DEV-6903541025,PRD-41385,Studio Pro,B,LOT-635052,
DEV-7234359235,PRD-66155,QC45,B,LOT-375625,08/12/2025
DEV-6070889018,PRD-99353,QC Ultra,B,LOT-650387,2024-07-27
DEV-7014053655,PRD-24371,Studio Pro,A,LOT-996473,2025-07-01
DEV-8549686740,PRD-66155,Studio Pro,C,LOT-403170,2024-12-28
DEV-7205851746,PRD-98555,Portable PA Mini,A,LOT-509303,2025-12-29
DEV-3630518884,PRD-66155,QC Ultra,A,LOT-736829,12/15/2024
DEV-2264035652,PRD-10074,QC Ultra,C,LOT-306881,2024-08-14
DEV-5470718025,PRD-24371,QC Ultra,B,LOT-993329,2025-10-07
DEV-5541503427,PRD-66155,Studio Pro,A,LOT-568446,2024-07-12
DEV-2590382399,PRD-71348,QC Ultra,B,LOT-609274,2024-03-23
DEV-5089514281,PRD-25906,Aviation Pro X,D,LOT-328717,2025-04-15
DEV-8642739449,PRD-71348,Studio Pro,,LOT-131570,2024-10-07
DEV-4962457585,PRD-66155,Studio Pro,C,LOT-391326,2024-01-19
DEV-5888734626,PRD-67912,Theater Kit X,B,LOT-226963,2025-02-14
DEV-4743550538,PRD-71348,Studio Pro,C,LOT-343212,2025-09-12
DEV-6322966499,PRD-96511,Theater Kit X,A,LOT-753497,04/04/2024
DEV-6413428504,PRD-66155,QC45,A,,2024-08-14
DEV-2769375351,PRD-24371,QC Ultra,C,LOT-967397,2024-04-26
DEV-7255078299,PRD-66155,QC Ultra,D,LOT-229925,2024-02-12
DEV-3345646151,PRD-66155,Studio Pro,D,,2024-12-14
DEV-4882904502,PRD-10425,Studio Pro,C,LOT-618843,06/19/2025
DEV-1126284804,PRD-65461,QC Ultra,C,LOT-325960,2024-12-02
DEV-9369092203,PRD-66155,Studio Pro,D,LOT-601369,2024-09-07
DEV-4498132611,PRD-41385,QC Ultra,C,LOT-605820,
DEV-7560647811,PRD-24371,QC Ultra,B,LOT-337463,2024-11-11
DEV-2038480674,PRD-38080,QC Ultra,A,LOT-236132,2024-04-02
DEV-9706868875,PRD-99353,QC45,B,LOT-965135,2024-08-23
DEV-6261325944,PRD-66155,QC45,B,LOT-360512,2024-08-30
DEV-1443177726,PRD-10074,QC Ultra,C,LOT-150747,2024-08-11
DEV-3180465129,PRD-59672,Air Mini,A,,2025-06-28
DEV-8982163161,PRD-66155,QC45,A,LOT-518787,2024-07-10
DEV-4983096410,PRD-10425,Studio Pro,A,LOT-193820,2024-01-30
DEV-9373447094,PRD-17100,Quiet Buds,D,LOT-442941,2025-03-20
DEV-4631850207,PRD-63354,Air Mini,D,LOT-953721,2024-12-24
DEV-2037272398,PRD-10425,QC Ultra,D,LOT-982305,2025-10-22
DEV-6444948840,PRD-66155,QC45,B,LOT-188053,2025-03-04
DEV-8607803914,PRD-10074,QC Ultra,C,LOT-114564,2024-05-16
DEV-9552507049,PRD-66155,QC Ultra,C,LOT-486507,2025-05-20
DEV-6849762266,PRD-49117,QC45,C,LOT-791105,2025-03-24
DEV-7061746591,PRD-12757,Studio Pro,A,LOT-807648,
DEV-3652796264,PRD-62923,Air Mini,,LOT-220086,2025-09-30
DEV-6068782187,PRD-68082,Air Mini,C,LOT-231461,2024-06-13
DEV-5304987325,PRD-81066,Air Mini,,LOT-895461,2025-12-11
DEV-1313463646,PRD-99353,Studio Pro,C,LOT-585698,2025-07-06
DEV-2362758322,PRD-71348,QC45,C,LOT-245286,08/19/2025
DEV-6452182075,PRD-24371,Studio Pro,B,LOT-521020,2025-12-26
DEV-8396014936,PRD-10074,Studio Pro,B,LOT-263089,2024-03-25
DEV-7593397173,PRD-66155,QC45,B,LOT-724881,2024-09-02
DEV-3349561281,PRD-40982,Air Mini,B,LOT-164153,2025-07-18
DEV-1904968362,PRD-25129,Pulse S,B,LOT-595109,2025-08-08
DEV-3940078355,PRD-84085,Air Mini,A,,2024-09-22
DEV-5061292241,PRD-12757,Studio Pro,C,LOT-249095,
DEV-9558549893,PRD-24371,QC Ultra,D,LOT-622008,2024-10-09
DEV-2242470749,PRD-65461,QC Ultra,A,LOT-183306,2025-02-05
DEV-7644079103,PRD-24371,Studio Pro,D,LOT-655062,12/11/2024
DEV-3071449429,PRD-59672,Air Mini,D,LOT-733338,2024-09-21
DEV-7710690789,PRD-41385,QC45,C,LOT-904127,2024-02-25
DEV-6550527305,PRD-12757,QC45,A,LOT-882695,2025-05-08
DEV-5967313752,PRD-23104,SoundLink Flex,D,LOT-632230,2025-12-09
DEV-9726790829,PRD-35112,Quiet Buds,A,LOT-795217,02/11/2024
DEV-2234929990,PRD-24371,Studio Pro,A,LOT-372317,2025-11-25
DEV-3636583994,PRD-25906,Aviation A20,A,LOT-367806,2024-05-27
DEV-3077846390,PRD-66155,Studio Pro,C,LOT-100436,2025-01-06
DEV-7002490844,PRD-12757,QC Ultra,C,LOT-175512,2025-08-11
DEV-9131261832,PRD-49117,QC Ultra,,LOT-511363,2024-08-01
DEV-3461616688,PRD-71348,QC45,A,LOT-484480,2024-02-17
DEV-4226005293,PRD-66155,QC Ultra,C,,2024-07-11
DEV-5684001748,PRD-99353,QC Ultra,,LOT-162301,2024-05-18
DEV-8283120444,PRD-66155,QC Ultra,D,LOT-125376,2025-07-27
DEV-5709099433,PRD-82845,Sport Buds,A,LOT-415304,2025-06-04
DEV-1496847270,PRD-40784,Portable PA Mini,A,LOT-550949,2025-11-22
DEV-1706609492,PRD-71348,QC45,A,LOT-162875,2025-01-11
DEV-6399692668,PRD-66155,Studio Pro,D,LOT-854968,
DEV-2958935367,PRD-66155,Studio Pro,B,LOT-587536,2024-03-14
DEV-7999914203,PRD-95180,QC45,C,LOT-122322,2025-11-09
DEV-8422692149,PRD-66155,Studio Pro,C,LOT-393082,2025-05-03
DEV-5178229051,PRD-47606,Portable PA X,C,LOT-654962,2025-10-09
DEV-9774546774,PRD-24371,QC Ultra,B,LOT-303000,2024-05-06
DEV-3338908680,PRD-66155,QC Ultra,D,LOT-102248,
DEV-7307639291,PRD-24371,QC45,B,LOT-951904,2025-08-20
DEV-2822728685,PRD-17100,Air Mini,A,LOT-593989,2025-12-16
DEV-1226336169,PRD-40784,Portable PA Mini,B,LOT-940441,2025-08-08
DEV-9715288789,PRD-94080,Soundbar 600,D,LOT-370778,2025-06-16
DEV-9645819284,PRD-17100,Air Mini,B,LOT-828382,
DEV-3156578524,PRD-66155,QC45,B,LOT-162995,2024-10-12
DEV-9257471205,PRD-68082,Quiet Buds,A,LOT-212216,2024-12-26
DEV-4865400497,PRD-66155,Studio Pro,D,LOT-549744,2025-02-16
DEV-7091210346,PRD-66155,QC Ultra,D,LOT-176222,
DEV-8064269678,PRD-12757,QC45,B,LOT-422056,2025-12-28
DEV-6630109169,PRD-66155,Studio Pro,C,LOT-589279,2025-11-10
DEV-8278837449,PRD-66155,Studio Pro,B,LOT-813571,2024-12-22
DEV-2656767784,PRD-24371,QC Ultra,C,LOT-782427,2025-11-30
DEV-4111693618,PRD-68082,Air Mini,B,LOT-164775,2024-03-18
DEV-4296962245,PRD-17100,Air Mini,C,LOT-799850,2025-07-29
DEV-6613336451,PRD-66155,QC45,A,LOT-538896,
DEV-8323550212,PRD-66155,Studio Pro,C,LOT-341281,2025-05-11
DEV-5369307000,PRD-66155,QC Ultra,C,LOT-191319,2024-11-01
DEV-1828985281,PRD-24371,Studio Pro,C,LOT-187920,2024-02-11
DEV-6174717082,PRD-81511,Soundbar 600,B,LOT-826016,2024-07-31
DEV-6363673442,PRD-71348,QC45,A,LOT-373247,
DEV-1619530409,PRD-24371,Studio Pro,B,LOT-121590,2024-10-28
DEV-3749983474,PRD-24371,QC Ultra,B,LOT-416496,04/13/2025
DEV-8939399474,PRD-65461,QC Ultra,B,LOT-844024,2025-07-07
DEV-4391401156,PRD-24371,QC45,A,LOT-315726,2025-02-12
DEV-1413077604,PRD-66155,Studio Pro,C,LOT-587550,2025-02-08
DEV-4425064653,PRD-66155,Studio Pro,B,LOT-364565,2024-07-17
DEV-4303504575,PRD-24371,QC45,B,LOT-641111,2025-07-09
DEV-1764413809,PRD-66155,QC45,B,LOT-359561,2025-04-05
DEV-6702445495,PRD-49117,Studio Pro,B,LOT-974523,2024-12-12
DEV-7183125377,PRD-24371,Studio Pro,B,LOT-145656,2025-11-18
DEV-2280403099,PRD-99353,QC Ultra,C,LOT-287485,02/06/2025
DEV-6138961184,PRD-99353,Studio Pro,B,LOT-919283,2024-07-01
DEV-3305328106,PRD-66155,QC45,D,LOT-482299,2025-10-03
DEV-8858597694,PRD-71348,QC45,B,LOT-203501,2025-07-22
DEV-3809436845,PRD-10074,QC45,C,LOT-333190,2024-01-26
DEV-8752438396,PRD-61876,Air Mini,B,LOT-844521,
DEV-3039361611,PRD-66155,QC Ultra,D,LOT-831179,2024-12-22
DEV-3536794972,PRD-10074,Studio Pro,B,LOT-697606,2024-09-19
DEV-3821872315,PRD-25129,SoundLink Flex,D,LOT-893442,2024-01-02
DEV-7023073518,PRD-66155,QC Ultra,C,LOT-441618,2025-05-08
DEV-6347685808,PRD-66155,QC45,B,LOT-536172,2025-03-14
DEV-1724132738,PRD-10221,Portable PA Mini,B,LOT-534167,
DEV-3335387866,PRD-66155,Studio Pro,D,LOT-905731,01/07/2024
DEV-5296952162,PRD-79822,QC Ultra,B,LOT-516592,2024-01-01
DEV-1663933429,PRD-49117,QC Ultra,A,,2025-12-27
DEV-1714264944,PRD-42018,Pulse S,C,LOT-778992,2024-11-25
DEV-3992820188,PRD-66155,Studio Pro,,,
DEV-5839949187,PRD-40007,Studio Pro,A,LOT-972227,2025-11-25
DEV-7694162235,PRD-59672,Quiet Buds,B,LOT-349258,2025-12-25
DEV-7616863418,PRD-84085,Air Mini,C,LOT-468204,06/04/2024
DEV-4206082415,PRD-66155,QC Ultra,B,LOT-628641,2025-08-24
DEV-3789405002,PRD-66155,QC45,B,LOT-640687,2025-02-04
DEV-3576422336,PRD-71348,QC45,B,LOT-611966,06/23/2025
DEV-2758278222,PRD-49117,QC45,C,LOT-894817,
DEV-2278423218,PRD-38080,QC45,B,LOT-790635,06/09/2025
DEV-5706763383,PRD-71348,QC45,D,LOT-184805,2025-09-23
DEV-6495679987,PRD-49117,Studio Pro,B,LOT-383587,07/28/2024
DEV-6043624246,PRD-66155,QC Ultra,C,LOT-517157,2025-11-05
DEV-9829614192,PRD-66155,Studio Pro,C,LOT-941131,
DEV-6677088803,PRD-10425,QC45,C,LOT-746874,2025-01-21
DEV-8556503170,PRD-35112,Air Mini,B,,2025-06-25
DEV-1056962991,PRD-35112,Quiet Buds,B,LOT-216622,2025-07-20
DEV-4022448898,PRD-82845,Sport Buds,C,LOT-399308,2025-07-04
DEV-2481565033,PRD-66155,Studio Pro,C,LOT-782493,2025-12-08
DEV-2825231211,PRD-79822,Studio Pro,D,LOT-596016,2025-08-29
DEV-7353134662,PRD-40982,Sport Buds,B,LOT-157000,2025-12-22
DEV-3590804348,PRD-24371,Studio Pro,A,LOT-159544,
DEV-6368047151,PRD-41385,Studio Pro,B,LOT-807626,
DEV-1578165626,PRD-66155,Studio Pro,A,LOT-431383,2024-07-24
DEV-2070273131,PRD-62923,Sport Buds,,LOT-887382,2024-12-20
DEV-9407612311,PRD-71348,QC45,C,LOT-447983,2024-10-19
DEV-7616854389,PRD-64040,Soundbar 600,C,LOT-503193,2025-11-12
DEV-8120379660,PRD-71348,QC45,D,LOT-216986,06/04/2024
DEV-6416785515,PRD-66155,Studio Pro,B,LOT-350262,2024-09-30
DEV-7479918773,PRD-24371,QC45,B,LOT-224010,2025-03-30
DEV-8495531112,PRD-66155,QC Ultra,C,LOT-548160,2025-06-01
DEV-3244443821,PRD-66155,Studio Pro,B,LOT-660796,2024-02-21
DEV-6790714793,PRD-24371,Studio Pro,B,LOT-649968,2025-04-24
DEV-3781793900,PRD-66155,QC45,A,LOT-582622,2025-12-24
DEV-3232534016,PRD-65461,QC Ultra,C,LOT-831000,2024-04-30
DEV-5961762755,PRD-35112,Quiet Buds,,LOT-535815,2024-10-21
DEV-8025988909,PRD-66155,QC45,B,LOT-659114,2025-04-14
DEV-9979408203,PRD-24371,Studio Pro,C,LOT-501708,2024-10-30
DEV-7612818913,PRD-99353,QC Ultra,A,LOT-765299,2024-02-13
DEV-4161333448,PRD-79329,Pulse S,D,LOT-303125,2025-07-06
DEV-8928060173,PRD-24371,QC45,A,LOT-938649,2024-10-14
DEV-9342707984,PRD-67912,Soundbar 900,C,LOT-980777,
DEV-1388554998,PRD-66155,QC Ultra,B,LOT-319891,2025-02-04
DEV-2318766528,PRD-41385,QC Ultra,C,LOT-374371,2024-09-27
DEV-3217628967,PRD-66155,Studio Pro,A,LOT-977338,2025-09-21
DEV-7293112856,PRD-12757,QC Ultra,B,LOT-396740,2024-05-19
DEV-1234978221,PRD-24371,QC Ultra,A,LOT-134914,2024-04-13
DEV-7376289264,PRD-66155,QC Ultra,D,LOT-317713,2024-10-22
DEV-8504640482,PRD-66155,QC Ultra,A,LOT-391223,
DEV-9343431931,PRD-24371,QC Ultra,D,LOT-199235,2024-05-19
DEV-4124711212,PRD-66155,QC45,D,LOT-237055,2025-06-10
DEV-5482042538,PRD-67912,Theater Kit X,C,LOT-662020,2024-10-11
DEV-6350735793,PRD-49117,QC45,C,LOT-276640,2025-11-30
DEV-2018580265,PRD-81511,Soundbar 900,D,LOT-336649,12/25/2025
DEV-5875666538,PRD-24371,QC45,D,LOT-380974,
DEV-6901488803,PRD-71348,Studio Pro,D,LOT-796913,2025-09-01
DEV-3382911142,PRD-39154,Theater Kit X,C,LOT-320091,2024-11-08
DEV-3407527368,PRD-66155,QC Ultra,D,LOT-612052,2025-09-05
DEV-5309131649,PRD-81066,Air Mini,,LOT-525780,06/21/2025
DEV-6600560546,PRD-41385,QC45,D,LOT-207573,2024-01-08
DEV-8897474212,PRD-24371,QC45,D,LOT-902505,2025-06-11
DEV-9303512861,PRD-66155,Studio Pro,B,LOT-846325,2024-11-04
DEV-5475917991,PRD-66155,QC Ultra,A,LOT-823727,
DEV-8845255956,PRD-66155,Studio Pro,B,LOT-874885,2024-01-29
DEV-4448491069,PRD-66155,QC45,,LOT-151812,2025-04-04
DEV-4503524507,PRD-24371,QC Ultra,A,LOT-997842,2024-04-13
DEV-4313413987,PRD-66155,Studio Pro,B,LOT-242988,2025-07-09
DEV-2030182166,PRD-66155,QC Ultra,A,LOT-836581,
DEV-5850791091,PRD-66155,Studio Pro,D,LOT-791319,2024-05-28
DEV-8886311778,PRD-66155,Studio Pro,A,LOT-451955,2024-02-17
DEV-9336450185,PRD-24371,QC45,A,LOT-872291,2024-10-22
DEV-2227831126,PRD-95180,Studio Pro,C,LOT-725036,2025-07-05
DEV-2614752890,PRD-15229,Soundbar 900,A,LOT-773121,2024-06-16
DEV-4993847403,PRD-24371,QC45,A,LOT-296805,2025-11-27
DEV-5998766673,PRD-24371,QC Ultra,B,LOT-918643,2024-12-30
DEV-7752499941,PRD-66155,Studio Pro,B,LOT-670311,2024-09-06
DEV-1670872861,PRD-24371,QC45,B,LOT-273805,2025-01-25
DEV-1355256151,PRD-99353,Studio Pro,D,LOT-856936,2024-06-22
DEV-5915795799,PRD-65724,Aviation A20,C,LOT-405416,2024-10-25
DEV-3952528514,PRD-66155,QC45,B,LOT-454831,2025-07-12
DEV-8778067010,PRD-40784,Portable PA Mini,B,,2025-08-27
DEV-8061413097,PRD-66155,QC Ultra,B,LOT-827856,2025-07-02
DEV-2195438195,PRD-66155,QC45,D,LOT-679670,2024-12-22
DEV-7538176308,PRD-81511,Theater Kit X,C,LOT-926030,2024-06-30
DEV-5387874765,PRD-17100,Quiet Buds,C,LOT-880750,2025-11-06
DEV-9844179087,PRD-24371,Studio Pro,,LOT-600170,2024-09-25
DEV-1060167218,PRD-79822,QC45,A,LOT-173440,2024-05-28
DEV-6574768878,PRD-24371,Studio Pro,B,LOT-760714,2025-10-03
DEV-3352406322,PRD-49117,Studio Pro,B,LOT-480693,
DEV-3454041932,PRD-49117,Studio Pro,D,LOT-792677,
DEV-8229166144,PRD-66155,Studio Pro,C,LOT-756304,2025-09-27
DEV-6875328690,PRD-10074,Studio Pro,B,LOT-175190,2025-11-23
DEV-9801909703,PRD-71348,QC45,C,LOT-137122,2025-12-22
DEV-8583521129,PRD-66155,QC Ultra,,LOT-551071,2025-10-15
DEV-9496808393,PRD-65461,Studio Pro,A,LOT-412865,2024-06-15
DEV-3054951226,PRD-79329,Wave Plus,A,LOT-379436,2025-01-01
DEV-9314540890,PRD-49117,Studio Pro,A,LOT-749169,2025-01-11
DEV-1800303256,PRD-66155,QC45,A,LOT-521371,2024-03-01
DEV-5560131505,PRD-71348,QC45,C,LOT-404581,2025-01-20
DEV-5453940328,PRD-49117,Studio Pro,C,LOT-183185,2024-10-23
DEV-5875676716,PRD-65461,QC45,B,,2024-05-22
DEV-7482253285,PRD-64040,Soundbar 900,C,LOT-126758,2024-03-22
DEV-4105677950,PRD-68082,Sport Buds,A,LOT-174854,2025-05-26
DEV-5291498940,PRD-93130,Soundbar 900,C,LOT-847573,2025-03-19
DEV-1558739878,PRD-61876,Quiet Buds,B,LOT-387831,2024-03-07
DEV-1040084282,PRD-66155,QC Ultra,B,LOT-577845,09/27/2024
DEV-7144607121,PRD-24371,QC45,C,LOT-377745,2025-08-21
DEV-9680212952,PRD-66155,QC45,A,LOT-580066,2024-11-09
DEV-2667656096,PRD-66155,QC Ultra,,LOT-183123,2025-08-27
DEV-4633840211,PRD-81066,Sport Buds,A,LOT-302173,10/03/2025
DEV-2398512575,PRD-66155,Studio Pro,B,LOT-623142,2025-10-27
DEV-4001174940,PRD-66155,QC45,A,LOT-295971,2025-10-21
DEV-9540341511,PRD-24371,QC45,D,LOT-415245,2024-01-25
DEV-9738035271,PRD-71348,Studio Pro,B,LOT-433028,2025-10-01
DEV-5222387708,PRD-66155,Studio Pro,D,LOT-126990,2024-01-31
DEV-4037797608,PRD-71348,Studio Pro,A,LOT-930948,2024-06-01
DEV-5625138799,PRD-71348,Studio Pro,C,LOT-752866,2025-12-23
DEV-8334486096,PRD-49117,QC Ultra,A,LOT-776095,2024-12-13
DEV-8963868995,PRD-91351,Soundbar 900,D,LOT-187043,
DEV-9065809516,PRD-66155,QC Ultra,D,LOT-871676,2025-08-17
DEV-8143482843,PRD-49117,QC45,B,,2024-10-24
DEV-5125909458,PRD-61876,Air Mini,C,LOT-475925,
DEV-1940520023,PRD-79822,Studio Pro,C,LOT-576478,11/19/2025
DEV-8694232598,PRD-66155,QC45,A,LOT-774163,2024-07-12
DEV-5898083244,PRD-68082,Air Mini,D,LOT-815106,2025-12-13
DEV-4332400040,PRD-96511,Soundbar 600,D,,2024-11-24
DEV-3439482394,PRD-49117,Studio Pro,C,LOT-600733,2025-11-23
DEV-2792805552,PRD-12757,QC Ultra,A,LOT-779656,01/17/2024
DEV-7413359004,PRD-24371,QC Ultra,D,LOT-120762,11/10/2024
DEV-4957632064,PRD-66155,Studio Pro,C,LOT-145142,2025-10-07
DEV-4562466214,PRD-24371,QC45,,LOT-552020,2025-06-21
DEV-8511075290,PRD-66155,QC Ultra,D,LOT-538074,
DEV-4002896164,PRD-66155,Studio Pro,C,LOT-739652,2024-01-10
DEV-3167899053,PRD-66155,Studio Pro,D,LOT-662665,2024-04-01
DEV-2017951154,PRD-66155,QC Ultra,B,LOT-974013,2024-01-12
DEV-7165225785,PRD-66155,QC45,B,LOT-800324,2025-01-06
DEV-4755910761,PRD-68082,Sport Buds,D,LOT-797114,2024-09-20
DEV-7695630064,PRD-49117,QC Ultra,D,LOT-161748,2024-06-05
DEV-8947083771,PRD-99353,QC45,B,LOT-313257,2024-12-09
DEV-6361549326,PRD-66155,Studio Pro,C,LOT-398272,2024-09-02
DEV-1449483973,PRD-71348,QC Ultra,B,,03/03/2025
DEV-4677552476,PRD-71348,QC Ultra,A,LOT-941171,2024-04-04
DEV-4893924807,PRD-59672,Sport Buds,A,LOT-125782,2024-07-18
DEV-2518473116,PRD-79822,QC45,B,LOT-622906,2025-02-19
DEV-5501023234,PRD-66155,QC Ultra,D,LOT-804007,2025-04-10
DEV-1606922657,PRD-65461,Studio Pro,A,LOT-980871,2025-01-30
DEV-1161504159,PRD-66155,Studio Pro,B,LOT-288827,2024-09-21
DEV-8391770901,PRD-63354,Air Mini,A,LOT-656166,2024-10-03
DEV-9174292929,PRD-99353,Studio Pro,C,LOT-301300,2024-11-07
DEV-5137725966,PRD-66155,Studio Pro,A,LOT-408319,2024-05-27
DEV-6599181258,PRD-38080,QC Ultra,C,LOT-802153,2024-08-23
DEV-9748829301,PRD-66155,QC Ultra,B,LOT-333543,2025-08-21
DEV-4237347679,PRD-24371,QC Ultra,B,LOT-367310,2024-10-31
DEV-2468416237,PRD-66155,QC Ultra,B,LOT-790469,
DEV-5122577845,PRD-66155,QC Ultra,C,LOT-522829,2025-11-28
DEV-1189943494,PRD-15229,Soundbar 600,B,LOT-432757,2024-11-13
DEV-8325843515,PRD-71348,QC Ultra,C,LOT-478046,2024-05-29
DEV-6710780236,PRD-66155,Studio Pro,C,,2025-09-27
DEV-3961029969,PRD-49117,Studio Pro,C,LOT-308129,2024-05-09
DEV-9687273981,PRD-39154,Soundbar 600,,LOT-656854,10/29/2024
DEV-8703692892,PRD-10425,QC Ultra,A,LOT-333762,2024-11-10
DEV-3058886402,PRD-91351,Soundbar 900,D,LOT-209476,2024-01-18
DEV-1098246042,PRD-79822,QC45,A,LOT-768232,2025-06-24
DEV-8771189680,PRD-66155,QC Ultra,A,LOT-732184,2024-08-03
DEV-9963433108,PRD-24371,QC Ultra,A,LOT-646178,2025-08-08
DEV-2320985302,PRD-12757,QC45,A,LOT-423498,2025-07-04
DEV-7849755421,PRD-66155,Studio Pro,A,LOT-158198,2024-06-04
DEV-2434728918,PRD-71348,QC Ultra,C,LOT-886330,2024-10-10
DEV-9846125527,PRD-59672,Quiet Buds,B,LOT-327831,2025-05-06
DEV-7321172992,PRD-66155,QC Ultra,,LOT-197678,2024-07-15
DEV-7170734485,PRD-66155,Studio Pro,A,LOT-906714,2024-09-02
DEV-3802822089,PRD-44237,Soundbar 900,B,LOT-565163,2024-07-24
DEV-7422932535,PRD-41385,QC Ultra,A,LOT-373083,2025-08-01
DEV-9959180625,PRD-66155,QC45,B,LOT-163119,
DEV-6701155988,PRD-65461,Studio Pro,B,LOT-990230,2024-06-27
DEV-4560461383,PRD-10074,QC45,B,LOT-683910,2024-11-27
DEV-1575809889,PRD-24371,QC45,D,LOT-227305,2024-01-01
DEV-5996669410,PRD-66155,QC45,D,LOT-552503,2024-07-30
DEV-6911706728,PRD-66155,QC45,B,LOT-898640,2025-06-02
DEV-8641095956,PRD-66155,Studio Pro,C,LOT-700222,2024-07-01
DEV-6312284184,PRD-49117,Studio Pro,B,LOT-290005,2025-01-06
DEV-6719579866,PRD-66155,QC45,B,LOT-628825,2024-01-27
DEV-5152344357,PRD-49117,QC Ultra,D,LOT-591261,2025-12-12
DEV-5563131279,PRD-49117,QC Ultra,B,LOT-857799,2025-04-07
DEV-9057420803,PRD-71348,Studio Pro,B,LOT-780111,2025-11-17
DEV-8139322814,PRD-66155,Studio Pro,A,LOT-383447,2025-03-28
DEV-4284154854,PRD-66155,QC45,C,LOT-503948,2024-05-01
DEV-9790774839,PRD-49117,Studio Pro,B,LOT-981542,2025-07-03
DEV-2998662466,PRD-71348,QC Ultra,B,LOT-302929,2024-09-20
DEV-2746490210,PRD-66155,QC45,A,LOT-321907,2025-11-21
DEV-3127065046,PRD-66155,QC Ultra,B,LOT-325968,2025-07-30
DEV-7121024157,PRD-59672,Air Mini,A,LOT-883005,2024-11-04
DEV-7148592328,PRD-65461,QC45,A,LOT-626603,2025-04-09
DEV-3705812724,PRD-10425,QC Ultra,B,LOT-678863,05/03/2025
DEV-2903196357,PRD-41385,Studio Pro,B,LOT-476760,2024-03-20
DEV-3971498980,PRD-71348,QC Ultra,D,LOT-726687,2024-11-08
DEV-6107179957,PRD-66155,QC Ultra,A,LOT-363333,2025-04-26
DEV-4247486765,PRD-66155,QC Ultra,B,LOT-294710,2025-10-08
DEV-7725016435,PRD-99353,QC Ultra,B,LOT-102019,10/04/2025
DEV-4738765258,PRD-71348,QC Ultra,A,LOT-412198,2025-06-16
DEV-2271255209,PRD-66155,QC45,B,,2025-11-22
DEV-4147226180,PRD-66155,QC Ultra,A,LOT-414478,2025-12-14
DEV-5591363274,PRD-40007,Studio Pro,C,LOT-990319,2025-04-07
DEV-1998462409,PRD-71348,Studio Pro,D,,2024-02-27
DEV-1842572532,PRD-66155,QC Ultra,A,LOT-326915,2025-03-04
DEV-8669104516,PRD-17100,Sport Buds,C,LOT-942554,2025-05-28
DEV-8168546958,PRD-71348,Studio Pro,B,LOT-222757,
DEV-4228059488,PRD-24371,QC45,D,LOT-691960,05/30/2024
DEV-5393831742,PRD-35112,Quiet Buds,D,LOT-253953,2025-09-01
DEV-6046242220,PRD-12757,QC45,B,LOT-898189,2024-03-10
DEV-4864024284,PRD-71348,QC Ultra,C,LOT-627055,2025-06-24
DEV-1079545975,PRD-66155,Studio Pro,A,LOT-629824,2025-12-24
DEV-1175828567,PRD-76469,Portable PA Mini,D,LOT-918212,2025-11-14
DEV-2828846847,PRD-24371,QC45,C,LOT-858234,2024-08-19
DEV-5458699590,PRD-66155,Studio Pro,,,2024-07-03
DEV-9032324612,PRD-21114,Portable PA X,A,LOT-310309,2025-03-05
DEV-6326829420,PRD-66155,QC Ultra,D,LOT-305552,2025-12-13
DEV-9528742737,PRD-66155,QC45,C,LOT-875046,2025-12-07
DEV-8230132105,PRD-10425,Studio Pro,C,LOT-497334,2025-08-12
DEV-9792623509,PRD-49117,QC Ultra,A,LOT-613912,2025-09-19
DEV-7760043600,PRD-79822,Studio Pro,C,LOT-126275,2024-04-10
DEV-3232710580,PRD-61876,Quiet Buds,C,LOT-964219,2024-02-27
DEV-6948535292,PRD-24371,QC Ultra,C,LOT-985659,2025-04-29
DEV-1891523421,PRD-23104,SoundLink Flex,A,LOT-134993,2025-01-17
DEV-5419414760,PRD-24371,QC Ultra,A,LOT-553035,2025-09-16
